success,time,distance,speed
1,12.639,69.5536660512,5.5030988252
1,14.85,69.4182851379,4.6746319958
1,14.817,69.3854787908,4.6828291011
1,10.692,69.5892865958,6.508537841
0,36.6166,17.9342378031,0.4897843547
1,14.718,69.43209668,4.7174953581
1,12.54,69.4148755165,5.5354765165
1,14.85,69.4308282731,4.6754766514
1,14.454,69.4648271662,4.8059241156
1,10.692,69.4804485394,6.4983584493
1,12.408,69.3294871182,5.5874828432
1,14.685,69.328586107,4.7210477431
1,12.606,69.3618833026,5.5022912345
1,14.85,69.3522695117,4.6701864991
1,14.85,69.369498363,4.6713466911
1,10.692,69.4990470881,6.5000979319
0,36.6166,17.5695537169,0.4798248258
1,14.652,69.3221241153,4.7312397021
1,12.606,69.4533643542,5.5095481798
1,14.85,69.3448759895,4.6696886188
1,14.751,69.3713915015,4.7028263509
1,10.89,69.3696822016,6.3700350966
1,12.408,69.4922704302,5.6006020656
1,14.652,69.4253276761,4.7382833522
1,12.573,69.3929109977,5.5192007475
1,14.85,69.3576049143,4.6705457855
1,14.784,69.4018887134,4.6943918231
1,10.923,69.6080300393,6.3726110079
1,12.276,69.382875757,5.6519123295
1,14.652,69.3898128658,4.735859464
1,12.639,69.4766429927,5.4970047466
